district,Area,Population,Density
Quận 1,7.72,142000,18398
Quận 3,5.1,196000,38431
Quận 4,4.18,203767,48742
Quận 5,4.27,175000,40985
Quận 6,7,265000,37857
Quận 7,35.7,324000,9078
Quận 8,19.18,448000,23364
Quận 10,5.72,368000,64336
Quận 11,5.14,331000,64403
Quận 12,52.78,620000,11748
Bình Tân,52,784000,15077
Bình Thạnh,20.78,499000,24011
Gò Vấp,20,676000,33800
Phú Nhuận,4.88,163000,33402
Tân Bình,22.38,474000,21175
Tân Phú,16,485000,30313
Thành phố Thủ Đức,211.8,1009418,4764
Bình Chánh,252.69,680000,2691
Cần Giờ,704,71000,101
Củ Chi,434,462000,1064
Hóc Môn,109.18,542000,4964
Nhà Bè,100,206000,2060
